ulasan,label
tolong lebih ditingkatkan lagi sukur sukur sekarang kalau daftar gojeg pakai kk ktp biar abng gojegy not_kena tipu akun akun palsu sudah 3 kali ini ada yang nyamperin ke alamat saya padahal saya not_pesan kasian pan orang gojeg y,netral
terima kasih atas pelayanan nya,positif
kecewa karena pesanan gofood yang saya terima kurang dan dari pihak gojek not_ada solusi,negatif
kurang bagus jaringannya,netral
saya pengguna gojek mines supir banyak yang minta uang lebih ketika perjalanan malam hari dn banyak yang cancel sering juga berganti menolak,negatif
not_bisa order diatas 100km kalah ama sebelah,negatif
sangat bermanfaat sekali untuk aku terimakasih,positif
iyaa sangat berguna aplikasi ini untuk pesan online,positif
untuk lokasi gofood tolong di kondisikan kembali saat keluar aplikasi lokasi berubah mohon seperti aplikasi marketplace yang lokasinya di simpan sebagai default,negatif
masa sudah menginstal malah disuruh dari awal,netral
mohon maaf sebelumnya dari aplikasi ini mau pun gopay dari apakah ada pertanggung jawaban atas trasferan yang belum masuk masuk sampai sekarang dari kemarin saya transfer temen saya sampai sekarang belum masuk temen saya meminta pertolongan untuk beli obat sakit dan sampai saat ini juga belum masuk masuk harus menunggu 2 hari mau pun 3hari di ibaratkan temen saya keburu meninggal karena harus menunggu 2 hari mau pun 3 hari belum masuk direkeningnya mohon maaf jika ada salah kata untuk gojek gopay,negatif
bagian paylater mengecewakan dulu bisa atur limit yang mau dipakai sekarang malah gabung dengan tagihan di tokopedia memang keliatannya sama saja tapi tiap kali dipakai malah dikenakan charge fee sekian persen padahal sudah bayar fee adminnya juga kan kukira update ini buat bagus tapi malah mengecewakan apa saya salah baca s ribu nya ya kayaknya saya bakal pakai kendaraan pribadi saja deh untuk pesan makanan juga saya lebih memilih pakai aplikasi lain intinya saya kecewa banyak,negatif
sejauh ini mantap lancar top sekali,positif
mntap sis tolong dong akun saya di kasih playleter saya ksi bintang 3 dulu kalau sudah di kasih playleter saya kasi bintang 5 makasih,netral
saya datang mau ambil jaminan suami saya kok dipersulit begini datang dari pagi kt security kantor gojek kemang karyawannya lgi siap2 padahal ud jam 9 disuruh menunggu waktu dipanggil bagian ambil atribut disuruh menunggu lg sampai jam 10 jam 10 dibilang sekuriti datang lg bsk karena karyawan bagian ambil jaminan lg ke kantor petojo apakh karyawan ambil jaminan cuma 1 orang untuk kantor gojek yang besar dan saya mau menunggu ampe siang disuruh bsk ama skuriti apakah karyawan tsb ngak balik lg,negatif
sering sering kasih promo ya,positif
sekarang makin banyak biaya not_kayak dlu padahal kan kita juga memberi tip untuk driver biaya jasa lah biaya pesanan lah kok makin memberat kan ke pengguna seperti nya akan beralih nih,positif
lebih sering pakai gofood tapi dalam sehari ada 2 driver gojek di surabaya nyetir motong jalan orang yang terakhir sampai berani melotot ngajak berantem padahal sedang bawa penumpang tolong lebih ketat dalam menerima driver not_terima driver not_punya attitude sayang saya not_sempat foto plat nomer cukup membuat kapok pakai gojek kalau liat drivernya bad attitude kyk gitu,negatif
harusnya lebih banyak promo biar not_kalah saing sama grab,positif
susah dapat driver tarif gofood juga jadi mahal sekali,netral
kok voucer saya hilang semua pass logout,negatif
not_jelas pesan makan menunggu lama sekali infonya belum dapat drivernya alhasil saya cancel saja,negatif
mitra yang kerjasama kadang not_update aplikasi mohon beri teguran atau peringatan pada warung yang not_update harga dan menu,netral
admin bagaimana sih kata petunjuknya harus memasukkan no yang lama tapi tdk ditemukan saya punya kendala no gojek nya hilang,negatif
bagaimana sih upgrade kok lama sekali,negatif
harga relatif mahal promonya kecil,netral
aman nyaman dan harga terjangkau,positif
saya ada isi saldo gopay tgl 30 januari 2020 jam 7 40 via nca virtual account sebesar rp 150 ribu saya sudah compalin gojek katamya suruh tunggu 24 jam tapi saya lihat disaldo saya masih kosong dana yang saya isi sampai detik ini saya sangat kecewa sepertinya dana yang saya isi hilang begitu saja dan saya sudah malas untuk isi kembali saldo seperti biasa dan sudah tdk percaya,negatif
suka keluar sendiri kesal,netral
mau tanya bagaimana cara ganti email aplikasi gojek yang dimana emailnya mati soalnya emailnya itu nyangkut di hp yang hilang saya bisa login karena no hpnya sudah di urus dengan nomor lama tapi kartu baru mohon donk sayang sekali soalnya gopaynya,negatif
semoga lebih baik lg pelayananya,positif
maaf beri bintang 3 tlg drivernya di didik lgi masa orang mau pakai promo gaboleh diambil terus nyuru2 dicancel aneh sekali untung kek ada yang pesan kalau gada not_dapat duit kamu rejeki tu banyak dikit di syukurin mana jawab chatnya kalau pakai hemat gabakal ada yang ambil saya sendiri gamau ambil yauda kalau gamau ambil rejeki dikasi rejeki nolak,netral
titik lokasi tdk sesuai,netral
sudah update not_bisa login ups salah terus,netral
bagaimana sehpencairan prakerja tgl 6januari 2021 not_cair2 status di dasboard sedang di proses,netral
saya mau updete kok gaak bisa terus aplikasi gojek saya gangguan tdak di bolehkan untuk pesan not_tau kenapa,netral
kalau mau daftar online jadi member goclean itu kita harus download apa ya,netral
yang mau not_ribet keluar rumah asik banyak promonya hanya satu di aplikasi gojek hayo warga indonesia install aplikasi gojek gopay karya anak bangsa dukung cintai karya anak bangsa cintai produk indonesia,positif
banyak promo nya thanks,positif
aku kasih 3 dulu karena baru inatall,netral
sudah semakin meningkat pelayanan respon ke pelanggan tolong juga lebih diperhatikan kesejahteraan kenyamanan mitra driver ya love you always gojek god bless u terus sukses jadi yang terdepan,positif
not_bisa batalin pesanan,netral
mantap sangat berguna good,positif
membantu tapi kadang2 mahal,positif
sesuai dengan slogannya selalu ada jalan gojek terbaik,positif
ribet sudah di aktifin lokasi masih minta aktifin lokasi melulu gojek mau minta aktifin semua biar data saya bisa di diketahui semua ogah saya pakai gojek dulu not_kaya gini janco,negatif
penjemputan cepat pelayanannya mantap,positif
saran ditambah dong untuk pembayaran finance motor dan mobil bisa fif bas oto dll biar tambah lengkap,positif
adu bagaimana benerin dong gps nya harus nya sesuai titik kasian driver nya jadi harus di datengin melulu kan cape lumayan jauh kecewa,negatif
heran sekali sama driver nih pingin laku tapi not_niat jemput padahal jaraknya dekat tapi not_ada yang mau jemput like wtf lah padahal mah jalanannya juga sepi not_ada macet ditolak melulu njg nolak rejeki sekali dah kasian penumpang,netral
gojek mohon di bantu aplikasi gojek saya tdk bisa untuk melakukan pemesanan sudah saya telp call center sekitar 2 3 bln lalu tapi belum aktif jg hari ni tgl 25 7 2019 saya hub call center 021 10 selalu sibuk mohon di bantu boss trimakasih,positif
kurang luas jangkauan driver nya,netral
tolong tarif nya kalau memang ada perubahan kasi tau sudah berkali2 pesan gofood byrnya slalu not_sesuai dengan yang tercantum slalu lebih dari yang dicantumkan,negatif
kelamaan waktu cari driver terus tiba2 sibuk kan bodoh,negatif
sangat bagus dan not_ada iklan semua ada di sini bisa pesan makanan dan lainnya dan sangat lenkap,positif
gojek motor sekarang sangat buruk pengemudi banyak yang lawan arah mentang2 jalanan kosong tolong ditindak pak polisi,negatif
bagus saja sih seneng gt sama gojek mas nya ramah mengerti sekali dan membantu sekali saat lagi kelaperan,positif
sudah 3 minggu saya menunggu pembukaan blokiran dompet gopay saya sudah berapa kali di laporkan not_ada tindakan dari pihak gopay saya merasa di rugikan soalnya ada uang saya di dompet gopay nya ini kinerja pegawai gojek ini jelek masa not_kenapa kenapa akun di blok saldo not_bisa di pakai sudah di laporin tapi not_ada keliatan hasil laporan nya untuk yang mau instal ini aplikasi pikir pikir dulu deh not_sampai rugi kayak saya,negatif
bagus membatu di masa kovit,positif
aplikasi konyol tdk bisa masuk buat akun baru hanya karena nomor lama sudah lupa sbb sudah lama tdk aktif terus untuk apa simpan aplikasi nya mending uninstal saja sbb aplikasi tdk bisa di fungsikan,negatif
saldo gopay berkurang gara gara pembatalan order goshop,negatif
aplikasi ini sangat bagus karena sangat mudah untuk bertransaksi di gopay,positif
sering eror di gofood pemberitahuan internet mati padahal buka aplikasi grab lancar saja,netral
banyak promo dan membantu meringankan kantong,positif
sudah baik karena memudahkan kita dalam berbagai hal kekurangannya pada gofood not_bisa memilih promo yang diinginkan dan itu sedikit mengecewakan mungkin bisa diperbaiki agar lebih memuaskan,netral
sangat membantu pada saat tak ada kandaraan,positif
kasih 3 unduh deh soalnya paylaternya not_bisa di pakai nih,netral
sangat memuaskan pakai aplikasi ini,positif
sangat manfaat untuk kelurga maksh gojek ttp smnagt terus,positif
susah sekali masuknya cuma muter muter doang tapi ngak bisa masuk,negatif
pakai gojek sangat memudahkan aku apalagi ada paylater nya makasih gojek aplikasi terbaik,positif
saya kasih bintang 3 saja saya download aplikasi gojek pas pesan tulis alamat tujuan kok not_muncul terus di klik lewat peta jawaban nya alamat not_terdeteksi padahal lokasi sudah saya nyalakan sory saya uninstal,netral
sangat membantu dalam kehidupanku,positif
kebiasaan gojek kalau pesan gofood suka telat terus,netral
smnjk di prbarui tipa not_aoplikasi gofood sllu kluar dengan sndiri nya tiap dapat driver tapi not_bs mbuka aplikasi pesanan dengan alasan server padat mjadi mnyita wktu daya dan not_bs chat dengan driver kalau mai di cancel jg not_bs buat galau hhuuh,netral
order cepat terlayani,positif
kecewa sudah menunggu hampir setengah 30jm garab gorid gocar pqda not_jelas niat kerja not_seh,netral
bagus driver cepat respon,positif
driver go car distasiun rangkas bitung not_mau ngambil ordee sdm yang not_ptofesional lebih baik kalian evaluasi,netral
suatu aplikasi transportasi pemesanan pengiriman dan banyak lagi semua fitu lebih elegan dan mudah dimengerti sangat nyaman dan lebib efisien,positif
saya suka dengan adanya gopay payleter ini tapi kalau boleh saran yaa pas top up kn ada adminnya kalau bisa di cashbackin lagi kyaa waktu itu karena untuk saya pribadi dapat uang juga not_langsung banyak jadi kalau untuk top up musti nyicil dulu biar kekumpul sudah mh biaya langganan yang lumayan lah ya terus belum lagi biaya admin jadi kalau ditotal ya lumayan saja gt ini saran saya jadi biar kedepannya lebih baik lagi dan banyak yang menggunakan fitur ini terima kasih,positif
buru buru update liat bangtan jadi ba wkwkwkwk,positif
masa iya saya hrs banting hp spy maps nya bnr berangkat kerja jarak nya mlh muter jauh not_jelas 10km giliran pulang 4km fix hapus aplikasi,negatif
terima kasih sudah jadi mitra sngat membantu keseharian saya dalam berkativitas,positif
ngisi saldo ov0 100rb not_masuk bagaimana bisa diurus kah saldo ovo lama juga hangus musnah,negatif
buat ribet update n menambah bsr dipenyimpanan internal,netral
jelek nomor kurirnya not_ada kalau kurir salah kirim barang penting butuh proses lg komplen ke pusat gojek,negatif
sejauh ini bagus ya cuma saya bingung kok saya pesan makanan sekali gojek nya dua padahal saya pesan makanan emg satu gojek doang kan kasian gojeknya yang satu di cancel lagi,netral
kok saya not_bisa ya make aplikasi ini kenapa ya saat pesan pasti muncul masalah dengan akun mu terus suruh telepon,netral
fast respon dalam mengatasi keluhan terimakasih,positif
not_bisa transaksi gara2 suruh update gopay plus harus pakai ktp lagi terus data yang sebelumnya kamu kemananin,negatif
sudah sangat membantu untuk aktifitas sehari2 tapi entah kenapa saya jarang sekali dapat voucer gratis padahal saya selalu topup dan bertransaksi pakai gopay,positif
aplikasi gojek emg oke smua serba bisa smga mkin sukses sllu mantap,positif
kok not_dapat diskon goride,positif
makin lama makin sampah pesenan lama tiba tiba dibatalin,negatif
ko lama ya sampenya ini beli pulsa,netral
biaya nya mahal,netral
terbaik dan not_diragukan,positif
selalu sesuai dengan rute dan orang orangnya asik,positif
aplikasi syetan dan paling buruk kode otp baru di kirim waktu masok kan salah dasar aplikasi not_berguna,negatif
susah login verifikasi susah mendingan aplikasi lain,negatif
lumayan membantu tapi kadang dtngxa agak lambat,positif
dah lama make eh ternyata hp kena ban device mana not_bisa dibanding pula aplikasi ccd,negatif
makin di update mkin susah,netral
top sanggat membantu se x trimksih gojek,positif
driver gojek not_pernah berubah mau menerima pesanan tapi not_mau jemput malah berbelok ke arah lain akhirnya yang kerja jadi telat kena sapen dari kantor gojek not_aplikasi yang bagus lebih baik grab terima kasih sudah mwmbuat pekerja telat dan kena saspen ternyata aplikasi yang sangat mengecewakan,negatif
muantap mudah cepat,positif
di tingkatkn lgi,netral
kenapa saya not_bisa upgrade mo byar pakai gopay jadi not_bisa solusi y dong,netral
saya stiap hari pakai jojek pulang pergi kerja tapi banyak dereverny yang kurang bgus kaya not_iklas untuk para derever tolng di perbaiki,netral
layanan express gada hasilnya malah telat not_ngotak untuk apa ada layanan itu,netral
sangat menolong untuk transportasi,positif
lanjing kok tiba tiba masuk untuk pin gopay sialan not_download semua,negatif
agak magal sih tapi lumayanlah,netral
server padat merayap terus kalau habis di update wkw,netral
memudahkan semua baik di transformasi maupun di go food makin sukses saja dech,positif
dicancel melulu dapat drivernya lama banget kecewa berat,negatif
belum mencoba lg,netral
kasih bntng 3 dulu bagus saya tambah 6 lagi,netral
adik saya mau bayar go paylater yang sudah telat bagaimana ya pas mau dibayar muncul info ada sedikit gangguan jadinya not_bisa bayar info ada sedikit gangguan sudah dari 3 hari yang lalu jadi dendanya terus bertambah,netral
kurang promo nya,netral
tdk bisa didownload lah,netral
aplikasi ini bagus sangat membantu,positif
hallo admin mau nanya nih ko aku gojek saya not_pernah ketempelan voucher atau apapun dan tampilannya pun engga seperti yang lain padahal sudah verif,netral
saya mau login ke akun lama saya tapi saya lupa nomor hp nya dan sudah not_bisa diakses tolong bantuannya nmr hp dan email sudah terhubung dan data saya sudah selesai diverifikasi,netral
aplikasi sering gangguan,netral
sangat membantu dalam melaksanakan aktivitas,positif
alhamdulillah masih setia pakai gojek sampai sekarang,positif
tambah enak kebutuhan dan not_ribet,positif
tolong duit ku aku balikan aku beli pulsa ke aplikasi ini malah not_masuk2 tolong di perbaiki kalau bisa duit saya kembalikan,netral
mohon maaf saya mau tnya ko saya kga bisa buka aplikasi gojek ya lama sekali muter nya kya kemidi puter,netral
sipp pokok e para driver nya ramah dan tepat waktu dalam pengantaran maupun penjemputan,positif
untuk segala keperluan bisa,positif
aplikasi bangsa yang merugikan bangsa sendiri not_inget yang membesarkan nama gojek adalah para mitra drivernya makin kesini gojek makin menindas baik pada bike dan gocar tarif yang kecil dan potongan yang semakin tinggi kecewa aing cuk,negatif
selalu minta upgrade berulang ulang nih jadi males pakai gojek,netral
harganya murah sekali sangat membantu sekali untuk kaum miskin,netral
fitur gopaylaternya saya rasa malah semakin jelek beda seperti yang sebelumnya bukannya meningkat malah memburuk telat pembayaran sehari langsung kena denda 50rb,negatif
menerima panggilan di aplikasi gojek menyebabkan output ke device bluetooth jadi hilang harus restart device agar perangkat bt bisa mengeluarkan suara lagi,negatif
kalau bisa gopay nya digunakan di indomaret alfamart dong,netral
pelayanan nya sangat bagus terima kasih,positif
senang poko nya sangat membantu kami yang punya anak beby mau mkan pesan mau pergi sekeluarga bisah pakai gocar not_takut hujan not_takut panas not_takut pulang kemalaman,positif
sangat terbantu pelayanan mantap terimakasih bantuannya,positif
ada transfeean ke akun gopay ku tapi kok not_masuk aneh dari sananya sudah di proses tapi ke akun gopay nya not_ada kanapa dimna nyangkutnyaa,positif
naik gojek memang nyaman dan cepat,positif
aplikasi nya gaje kok saya bisa msuk ribu akun orang pas saya ngedaftar ktany nmor saya sudah kedaftar padahal kn saya blum daftr sama sekali pas saya coba ktik masuk mlh saya msuk ribu akun orng akunnya dast mo kan jadi kesel plis dong bntu saya biar ratingya saya naikin,negatif
sangat bermanfaat terutama kalau malam not_adanya kendaraan umum gojek sangat membantu terimakasih sahabatku driver driver gojek,positif
tolong perbaiki bug nya di map saya not_ada 1 pun driver,netral
kemudahan apalikasi a harus lebih di tingkatkan lg,netral
drivernya ramah ramah sip y,positif
gojek kenapa not_bisa login padahal saya install di playstore asli bkn abal abal,netral
jika ada driver yang lebih dekat kenapa di kasih nya driver yang jauh,negatif
cara melaporkan penipu bagaimana aku korban penipuan jual beli akun free fire,netral
salam sejahtra semoga lancar amin,positif
aku kasi 4 bintang yaa soalny tiba2 gopay later aku di blokir dn not_tau kenpa padahal aku not_prnah telat,netral
sangat membantu makasih y,positif
saya mau chat dengan pihak customer service atau no tlvn call center nya enggak ada semua sistem robot kami not_robot jadi keluhan kami berbeda beda,negatif
gojek sekarang not_kya dulu yang skrng ke banyakan tdk sopan dan bawa mtrnya ugal ugal ugaln,negatif
sudah tahun 2024 ternyata masih sama go club tinggi not_menjamin prioritas pesanan layanan aplikasi hanya berjalan bagus selain di kota bandung karena di kota bandung go ride not_berfungsi ketika subuh macet atau hujan not_ada mitra driver yang akan melayani gunakan grab maxim atau aplikasi lain disaat tersebut,netral
jelek beut ni aplikasi susah amat mencari driver,negatif
sangat membantu saat kita perlu kirim makanan atau barang ke teman atau keluarga,positif
apa sih ini mau masuk gojek susah sekali suruh update tapi eror melulu gini,negatif
admin saya butuh bantuan akun saya not_bisa transfer sesama pengguna gojek ini akun saya kena imbas epek main suit dapetnya not_seberapa akun saya malah di blok not_bisa transfer terus bagaimana cara ngatasinnya saya cari bantuan di aplikasinya not_ketemu call senter wa ataupun chat langaung sama call senternya,negatif
bagus tingkat kan lgi,positif
rating5 layanan bintang 10,positif
agak sedikit kecewa dengan driver yang kadang milih kalau ambil gofood,negatif
keybordnya ilang not_bs pesan apa2 lg tolong di perbaiki,netral
konsumen not_boleh membatalkan orderan setelah menunggu hampir 45 menit not_dapat jg driver baru bisa di batalkan,negatif
sering map gougle peta menyesatkan kenapa masalah ini tjs,netral
upgrade lagi di proses sudah lebih dari 1 x 24 jam,netral
sukses selalu dan tetap semangat,positif
nomor mobil sering berbeda sering tak jelas dan menimbulkan kecurigaan yang negatif,netral
duh baru ke buka nah saya top up saldo donk malah ke blokir lagi,negatif
tolong tingkat kan lagi versi nya,netral
cepat dan banyak diskonnya,positif
ok sekali saya terbantu dengan ada nya promo,positif
tolong kalau bisa saldo gopay bisa untuk top up gopatner driver,positif
tolong kasih saya promo gofood 90,positif
saya kasih 3 dulu kalau memuaskan saya tambah lagi,netral
bagus sekali sih tapi kadang mkanannya kalah murah sama sebelah,netral
sangat bermanfaat untuk kehidupan zaman sekarang ad banyak diskonya lagi tq gojek indonesia,positif
aku dapat notifikasi dari payleter itu bagaimana si kata nya depet voucer 100 ribu itu bulan terakhir harus dibayar not_please jawab,netral
perjalanan nyaman driver ramah,positif
kenapa gopay not_bisa di pakai,netral
tolong dong ongkos kirim go food not_terlalu mahal apalah daya anak kos yang punya duit minim,netral
daftar gopay masa not_bisa,netral
kenapa ya semenjak update yang baru jadi ngeloading terus not_bisa di gunain pas di logout not_bisa login cuma muter terus si hejo hejonya,netral
aplikasinya lagi bodoh nih naro titik dimana naro dimana kasian drivernya jadi muter2 tolong bagian yang berrsangkutan di benerin lah,negatif
tolong lebih cepat penjemputan nya ya,positif
aplikasi paling sangat buruk kasihan untuk semua driver banyak yang sudah menjadi korban karena gojek memberikan kesempatan untuk resto hantu bermain vhoucer seharusnya resto hantu yang di blok not_driver nya di musnahkan secara not_langsung sudah memutuskan rezeki orang,negatif
ku kurangi bintang yh kalau bgus ku tmbhi bintang yh lgi,netral
ini kenapa dengan aplikasinya ya kok not_bisa dibuka muter melulu,netral
semenjak ada aplikasi go jek semua jadi mudah sangat terbantu sekali untuk semua kebutuhan,positif
sulit dapat driver jauh dari driver apalagi kalau resto pasti driver kok jauh dari resto sistem di go food sangat buruk lama 45 minit baru dpat driver,negatif
service selalu memuaskan,positif
memudahkan anter sekolah dan anter barang serta makanan,positif
sangat membantu sekali smogs sukses slalu,positif
apa apan pas hujan pada not_mau ambil orderan,negatif
pengalaman kali ini sangat mengecewakan pilih gosend instant pengiriman lambat sekali padahal kiriman itu penting dan mendesak sumpah kecewa sangat buruk,negatif
aplikasi mulai lambat merugikan pengguna,netral
skrng jadi tambh jelekk aplikasi nya kecewa besar,negatif
mau pergi mau mkan lebih gampang,positif
qpa nih gojek top up gopay duit hilang dah seminggu nda balik balik dichat admin nda respon tolong lah kami anak kos duit segitu sangatlah berharga,negatif
kemana mana lebih mudah dan murah,positif
aplikasi ra jelas blas not_ada notif tiba hilang semua,netral
gosend ke wonogiri juga cepat da aman,positif
aplikasi yang sangat membantu saya dalam segala situasi dan kondisi baik dalam hal pekerjaan maupun urusan keluarga alhamdulillah masih berjalan sesuai dengan keinginan,positif
suka sekali dan sangat membantu,positif
seru awalnya saya cri pesanan yang begitu aqu pesan langsung sampai tapi begitu kenak gojek kya sulap gitu abacadabra tunggu bentar sudah didepan mata jadi ketagihan,positif
4 dlu smga bagus lancar n memuaskan,positif
harganya lama tambah mahal,netral
kenapa akun saya tiba keluar tapi pas mau masuk lagi not_bisa,negatif
pengalaman pertama pesan gofood untuk anak yang diluar kota giliran pak driver nanya lokasi pasti kos anak eh mlhan suru tutup aplikasi untung drivernya baik mau cari muter dulu,netral
payah paylater nya kena blokir padahal baru melakukan transaksi 1 hari,negatif
kenapa aplikasi ini sudah di update kok leq,netral
alhamdulillah lebih cepat dan lebih murah saran supaya ditambah kalau bisa se jabodetabek atau se provinsi juga ada harganya,positif
layanan nya jelek sekali pesan apa menunggu mencari driver sampe seharian,negatif
gojek makin payah sekarang drivernya tiap pagi sama sore pas jam orang kantor pulang ataupun berangkat kerja itu pasti kalau jurusan jauh not_ada yang mau ambil orderannya kalah sama grab kmna saja juga diterima jujur kenapa saya lebih suka aplikasi gojek daripada grab karena lebih baik memperkaya produk negara sendiri ketimbang produk negara lain makin tahun makin payah driver gerimis dikit jauh dikit not_mau terima uninstal saja lah pindah aplikasi lain,negatif
banyak diskonn gofood nya,positif
jek tolong dong tambai i fitur harus sidik jari geser terlebih dahulu untuk tahap selanjutnya konfirmasi pemesanan gomart dll soalnya rawan kepencet jek makanya td not_sengaja pesan karena belum tuntas pilih barang alhasil harus dibatalin kasihan drivernya ok jek thanks,netral
saya melakukan pembelian online di codashop menggunakan gopay tetapi hasil top saya not_ada dan saldo saya juga berkurang sangat mengesalkan sekali tolong perbaiki dan saya minta ganti rugi kalau not_bisa diperbaiki,netral
asu banyak kendala kaya hari ini pesan gocar atau gojek masa iya didaerah saya not_ada yang lewat pada mati semua kali drivernya apa operatornya yang mati,negatif
sangat membantu mau apa az gojek banyak pilihanx sesuai kebutuhan kita makasih gojek,positif
gagal login melulu padahal dah klik link dari sms sangat buruk sekali,negatif
saldo saya kepotong 20 0 padahal saya batal pesan bagaimana dengan go pay,negatif
saya kasih bintang 3 ya karena tiap saya pesanan makanan malam banyak driver yang suka membatalkan,netral
banyak sekali promonya,positif
kenapa sekarang not_bisa masuk akun pakai email ya,netral
kali pertama saya hubungi call center karena kacamata saya ketinggalan di gocar 26 10 pihak call center mengatakan akan dihubungi kembali sampai sekarang not_ada dihubungi kali kedua 1 11 saya isi gopay di inbox sudah masuk berita bahwa saldo saya sudah di di isi tapi saya cek saldo masih 0 saya hubungi via email not_ada respon saran saya not_hanya cari untung tanpa meningkatkan kualitas layanan dari pihak management gojek,negatif
driver kurang bagus malah di turunin not_sesuai titik tod,negatif
masak saya belum ad dpat nor otp nya jugak di saya kecewaa,negatif
